base	number	description	note	description_fin	note_fin	link_original	link_wordnet	backtrack	synset_id	import_id
kelautua	1	Move, transfer	NULL	Kelautua, kulkea	NULL	NULL	NULL	NULL	NULL	NULL
kellastua	1	Become yellow	Not in sync with yellow.01, no arg0 in Finnish	Tulla keltaiseksi	Ei synkr. yellow.01:n kanssa, suomessa ei arg0:a	none.01	NULL	NULL	NULL	NULL
kellua	1	Float	NULL	Kellua	NULL	NULL	NULL	NULL	NULL	NULL
kelpuuttaa	1	Accept something (to somewhere)	NULL	Kelpuuttaa jotain (johonkin)	NULL	none.01	NULL	NULL	NULL	NULL
kelvata	1	Do, serve, suit	--- This has to do.	Kelvata	--- Tämän pitää kelvata.	NULL	NULL	NULL	NULL	NULL
keplotella	1	Wangle	tags:model:wangle.01	Keplotella	NULL	NULL	NULL	NULL	NULL	NULL
keretä	1	Reach in time, have the time to do something	(tags: seed:ehtiä)	Olla aikaa tehdä jotain	NULL	NULL	NULL	NULL	01934886	59168b8
keritä	1	Reach in time, have the time to do something	(tags: seed:ehtiä)	Olla aikaa tehdä jotain, ehtiä jonnekin	NULL	NULL	NULL	1511	NULL	NULL
kerjetä	1	Reach in time, have the time to do something	(tags: seed:ehtiä), cllq	Olla aikaa tehdä jotain, ehtiä jonnekin	NULL	NULL	NULL	1511	NULL	NULL
kerrata	1	Repeat, say again	(tags: model:repeat.01, seed:toistaa)	Toistaa, sanoa uudelleen	(tags: model:repeat.01, seed:toistaa)	repeat.01	NULL	NULL	00904590, 01098833	2b8050b
kerryttää	1	Cause to accumulate	NULL	Kerryttää	NULL	NULL	NULL	NULL	NULL	NULL
kertoa	1	tell, pass along information	(tags: model:tell.01)	Selostaa ja kuvailla sanallisesti	NULL	tell.01	NULL	NULL	00963342	4389df3
kertoilla	1	tell, pass along information	(tags: model:tell.01)	Selostaa ja kuvailla sanallisesti	NULL	NULL	NULL	1792	NULL	NULL
kertyä	1	amass	NULL	saada kokoon 	NULL	accumulate.01	NULL	NULL	NULL	NULL
keräillä	1	Collect something, gather, pick	(tags: seed:kerätä, model:collect.01)	Kerätä jotain, koota		NULL	NULL	789	NULL	NULL
kerätä	1	Collect something, gather, pick	(tags: seed:kerätä, model:collect.01)	Kerätä jotain, koota		collect.01	NULL	NULL	01311868, 01311601	33283ee
keräytyä	1	Gather (around), be gathered	Note: not in sync. with gather.01, no arg0 or arg3 in Finnish	Kerääntyä, tulla kerätyksi	Huom! Ei synkr. gather.01:n kanssa, ei arg0:a tai arg3:a suomessa	none.01	NULL	3601	NULL	NULL
kerääntyä	1	Gather (around), be gathered	Note: not in sync. with gather.01, no arg0 or arg3 in Finnish	Kerääntyä, tulla kerätyksi	Huom! Ei synkr. gather.01:n kanssa, ei arg0:a tai arg3:a suomessa	none.01	NULL	NULL	NULL	NULL
keskeyttää	1	interrupt, suspend	NULL	Lopettaa joku asia (kesken)	NULL	NULL	NULL	NULL	NULL	NULL
keskeytyä	1	be interrupted, be suspended	NULL	loppua (väliaikaisesti)	NULL	NULL	NULL	NULL	NULL	NULL
keskittyä	1	Concentrate, focus on something	Note: Not in sync with concentrate.01, no arg2 in Finnish (tags: seed:keskittyä)	Keskittyä, paneutua johonkin	Huom! Ei synkr. concentrate.01:n kanssa, suomessa ei arg2:a (tags: seed:keskittyä)	none.01	NULL	NULL	00970273	e71d36
keskittyä	2	Center on	E.g. "Yritykset ovat keskittyneet pääkaupunkiseudulle" ("The companies have centered on the capital area"). Note: not in sync with center.01, no arg0 in Finnish.	Keskittyä jonnekin paikkaan	Esim. "Yritykset ovat keskittyneet pääkaupunkiseudulle". Huom! Ei synkr. center.01:n kanssa, suomessa ei arg0:aa.	none.01	NULL	NULL	03110425	59a0ba1
keskittää	1	Centralize	tags:model:centralize.01	Keskittää	NULL	NULL	NULL	NULL	NULL	NULL
keskustella	1	Talk with someone mutually about something	(tags: model:discuss.01)	Puhua jonkun kanssa jostakin vastavuoroisesti	NULL	discuss.01	NULL	NULL	00921178, 00920250	b6310a
kestää	1	Extend over some period of time	(tags: seed:jatkua, model:last.01)	Jatkua ajallisesti		NULL	NULL	NULL	00112136	57944ea
kestää	2	Tolerate, bear	NULL	Kestää, sietää (jotakin raskasta)	NULL	NULL	NULL	NULL	00641789	4e09dea
keventää	1	Lighten up, cause something to become lighter 		Keventää, huojentaa	NULL	none.01	NULL	NULL	NULL	NULL
kevetä	1	Decrease	Note: Not in sync with decrease.01, no arg0 in Finnish	Vähetä	Huom! Ei synkr. decrease.01:n kanssa, suomessa ei arg0:a	NULL	NULL	2669	NULL	NULL
kiduttaa	1	Torture	NULL	Kiduttaa	NULL	NULL	NULL	NULL	NULL	NULL
kiehtoa	1	Be interesting	NULL	Olla kiinnostava, innostava	NULL	NULL	NULL	1466	NULL	NULL
kiehua	1	Boil	Not in sync with boil.01, no arg0 in Finnish	Kiehua	Ei synkr. boil.01:n kanssa, suomessa ei arg0:a	none.01	NULL	NULL	NULL	NULL
kieliä	1	Tell on, squeal	(tags: model:tell.03)	Kieliä, laverrella	NULL	tell.03	NULL	NULL	00806899	43e29f5
kieltäytyä	1	refuse	NULL	NULL	NULL	refuse.01	NULL	NULL	NULL	NULL
kieltää	1	Forbid, prohibit	(tags: model:forbid.01)	Olla sallimatta, kieltää tekemästä	NULL	NULL	NULL	NULL	00762918, 02115666	4ec2635
kieltää	2	Deny, renounce	(N.b! Not in sync with deny.01, no arg2)	Olla tunnustamatta, myöntämättä	(Huom! Ei synkr. deny.01:n kanssa, ei arg2:a)	NULL	NULL	NULL	00782729, 00782890	3d1ca4e
kiemurrella	1	Slither	NULL	Luikerrella	NULL	NULL	NULL	3245	NULL	NULL
kieritellä	1	Roll, move in circular fashion	(tags: model:roll.01)	Kieritellä, liikuttaa ympyrämäisesti	NULL	roll.01	NULL	NULL	NULL	NULL
kieriä	1	Roll, turn	Note: Not in sync with roll.01, args 0 and 1 mutually exclusive in Finnish	Pyöriä	Huom! Ei synkr. roll.01:n kanssa, arg:t 0 ja 1 toisensa poissulkevia suomessa	NULL	NULL	2509	NULL	NULL
kierrellä	1	Circle, wander, roam	NULL	Kierrellä	NULL	NULL	NULL	NULL	NULL	NULL
kierrättää	1	Recycle	Note: not in sync with recycle.01, no arg2 in Finnish	Kierrättää	Huom! Ei synkr. recycle.01:n kanssa, suomessa ei arg2:a	NULL	NULL	NULL	NULL	NULL
kierrättää	2	Make someone to take tours	NULL	Kierrättää jotakin, esim. kiertokäynti	NULL	NULL	NULL	NULL	NULL	NULL
kiertää	1	Coil e.g. arms around someone	(tags: model: coil.01	Kiertää esim. kädet jonkun ympäri	tags:model: coil.01)	NULL	NULL	NULL	NULL	2f25e13
kiertää	2	Evade laws or contracts	(tags:model:evade.01	Kiertää lakia tai sopimuksia	tags:model:evade.01)	NULL	NULL	NULL	NULL	73b946
kiertää	3	Go around from place to place, circul, circulate	Should this be VVB?	Kiertää paikasta toiseen tai konkreettisesti ympäri jotain, esim. maata	Pitäisikö olla VVB?	NULL	NULL	NULL	01829425	4cd850b
kietoa	1	Wrap, twist	Note: not in sync with wrap.01, arg1 and arg2 vice versa in Finnish	Kietoa	Huom! Ei synkr. wrap.01:n kanssa, arg1 ja arg2 päinvastoin suomessa	NULL	NULL	NULL	NULL	NULL
kietoutua	1	Wrap oneself	NULL	Kääriytyä	NULL	NULL	NULL	2834	NULL	NULL
kihartaa	1	Curl	NULL	Kihartaa	NULL	NULL	NULL	NULL	NULL	NULL
kihistä	1	Boil	Not in sync with boil.01, no arg0 in Finnish	Kiehua	Ei synkr. boil.01:n kanssa, suomessa ei arg0:a	NULL	NULL	2674	NULL	NULL
kiidättää	1	Rush	NULL	Kiidättää	NULL	NULL	NULL	NULL	NULL	NULL
kiihdyttää	1	Accelerate	(tags: model:accelerate.01)	Kiihdyttää, aiheuttaa kiihtyminen	NULL	accelerate.01	NULL	NULL	NULL	NULL
kiihottaa	1	Arouse, turn on	NULL	Kiihottaa, aiheuttaa sukupuolista nautintoa	NULL	none.01	NULL	NULL	NULL	NULL
kiihtyä	1	Accelerate, run faster	Not in sync with accelerate.01, no arg0 in Finnish	Kiihtyä, kulkea nopeammin	Ei synkr. accelerate.01:n kanssa, ei arg0:a suomessa	none.01	NULL	NULL	NULL	NULL
kiilata	1	Overtake	tags:model:overtake.01	Kiilata	NULL	NULL	NULL	NULL	NULL	NULL
kiiltää	1	Illuminate, shine	(tags: model:shine.01, seed:kuultaa)	Valaista, loistaa (valoa)		NULL	NULL	NULL	02045743	34928a8
kiilua	1	Illuminate, shine	(tags: model:shine.01, seed:kuultaa)	Valaista, loistaa (valoa)		shine.01	NULL	NULL	02045743	34928a8
kiinnittyä	1	fasten, connect	NULL	ottaa kontakti johonkin	NULL	NULL	NULL	NULL	NULL	NULL
kiinnittää	1	Fasten, attach	(tags: model:fasten.01)	Kiinnittää, sulkea	NULL	NULL	NULL	NULL	01542557	311aeb4
kiinnittää	2	Engage by written agreement, hire, employ	(tags: seed:kiinnittää, model:employ.01)	Ottaa palvelukseen, palkata	NULL	NULL	NULL	NULL	02305224	59792f1
kiinnittää	3	Rivet, pay attention to or fasten one's eyes on something	(tags: phrasal)	Kiinnittää katse tai huomiota johonkin	NULL	NULL	NULL	NULL	01444759	1c1eadc
kiinnostaa	1	Be interesting	NULL	Olla kiinnostava, innostava	NULL	NULL	NULL	NULL	02558680, 01742791	39add7
kiinnostua	1	become interested in	NULL	innostua jostakin asiasta tai tekemään jotakin asiaa	NULL	NULL	NULL	NULL	00579588	41b4c22
kiinteytyä	1	Become firmer	NULL	Kiinteytyä	NULL	NULL	NULL	NULL	NULL	NULL
kiipeillä	1	Climb	Note: not in sync with climb.01 or climb.02, both arg0 and arg1 possible, but mutually exclusive if singular	Kiivetä	Huom! Ei synkr. climb.01 eikä climb.02:n kanssa, suomessa arg0 ja arg1 toisensa poissulkevat, jos verbi on yksikössä	NULL	NULL	2356	NULL	NULL
kiirehtiä	1	Hurry, act at a high speed	(tags: seed:joutua)	Kiirehtiä, toimia nopeasti	NULL	NULL	NULL	NULL	NULL	4505fd9
kiirehtää	1	Hurry, act at a high speed	(tags: seed:joutua)	Kiirehtiä, toimia nopeasti	NULL	NULL	NULL	1554	NULL	NULL
kiistellä	1	argue	NULL	Olla eri mieltä jostakin	NULL	NULL	NULL	NULL	NULL	NULL
kiistää	1	Deny, renounce	(N.b! Not in sync with deny.01, no arg2)	Olla tunnustamatta, myöntämättä	(Huom! Ei synkr. deny.01:n kanssa, ei arg2:a)	NULL	NULL	1625	NULL	194fa85
kiitellä	1	Thank someone, express gratitude, show appreciation to	(tags: model:thank.01)	Kiittää, ilmaista kiitollisuutta, osoittaa arvostusta	NULL	NULL	NULL	1264	NULL	NULL
kiittää	1	Thank someone, express gratitude, show appreciation to	(tags: model:thank.01)	Kiittää, ilmaista kiitollisuutta, osoittaa arvostusta	NULL	NULL	NULL	NULL	00852999, 00844274	46e76b6
kiitää	1	Move fast	Arg0 and arg1 mutually exclusive. (tags: VVB)	Kiitää, liikkua nopeasti	Arg0 ja arg1 toisensa poissulkevat.	NULL	NULL	NULL	NULL	NULL
kiivetä	1	Climb	Note: not in sync with climb.01 or climb.02, both arg0 and arg1 possible, but mutually exclusive if singular	Kiivetä	Huom! Ei synkr. climb.01 eikä climb.02:n kanssa, suomessa arg0 ja arg1 toisensa poissulkevat, jos verbi on yksikössä	NULL	NULL	NULL	NULL	NULL
kilistä	1	Rattle	NULL	Kilistä	NULL	NULL	NULL	NULL	NULL	NULL
kiljua	1	Scream, speak very loudly	(tags: model:scream.01)	Huutaa, puhua kovaäänisesti	NULL	NULL	NULL	NULL	01000665	51ff7bf
kilpailla	1	Compete, try to win	(tags: model:compete.01)	Kilpailla, yrittää voittaa	NULL	compete.01	NULL	NULL	NULL	NULL
kimaltaa	1	Illuminate, shine	(tags: model:shine.01, seed:kuultaa)	Valaista, loistaa (valoa)		NULL	NULL	NULL	02045743	34928a8
kimpaantua	1	get angry	NULL	suuttua jostakin	NULL	NULL	NULL	NULL	NULL	NULL
kipeillä	1	Be sick or painful	NULL	Olla kipeä	NULL	none.01	NULL	NULL	NULL	NULL
kipittää	1	Move fast on foot	Note: not in sync with any sense of "run", there is no basic "agent runs from place a to place b" sense available (tags: seed:juosta)	Liikkua nopeasti jalan	Huom! Ei synkr. minkään "run"-sanan sensen kanssa, ei tarjolla perussenseä tyyliin "agentti juoksee paikasta a paikkaan b"	NULL	NULL	1452	NULL	NULL
kiristellä	1	Tighten	NULL	Kiristää	NULL	NULL	NULL	2828	NULL	NULL
kiristyä	1	Become tighter, tighten	Not in sync with tighten.01, no arg0 in Finnish	Kiristyä, tulla kireemmäksi	Ei synkr. tighten.01:n kanssa, suomessa ei arg0:a	none.01	NULL	NULL	NULL	NULL
kiristää	1	Tighten	NULL	Kiristää	NULL	NULL	NULL	NULL	NULL	NULL
kiriä	1	Pull ahead	NULL	Kiriä ohi	NULL	NULL	NULL	NULL	NULL	NULL
kiriä	2	Catch up	tags:phrasal	Kiriä kiinni	NULL	NULL	NULL	NULL	NULL	NULL
kirjata	1	Record (officially)	(tags: model:register.02)	tallentaa asiantila	NULL	NULL	NULL	NULL	02361918	291cbb2
kirjoitella	1	Write, communicate in writing	(tags: model:write.01, seed:kirjoittaa)	Ilmaista, kommunikoida kirjoittamalla	NULL	NULL	NULL	NULL	01620891, 00947651, 00961436	568797c
kirjoittaa	1	Write, communicate in writing		Ilmaista, kommunikoida kirjoittamalla	NULL	NULL	NULL	NULL	01620891, 00947651, 00961436	568797c
kirjoituttaa	1	Record (officially)	(tags: model:register.02)	tallentaa asiantila	NULL	NULL	NULL	1081	NULL	NULL
kirkua	1	Scream, speak very loudly	(tags: model:scream.01)	Huutaa, puhua kovaäänisesti	NULL	NULL	NULL	NULL	01000665	51ff7bf
kiroilla	1	Swear	(tags:model:swear.02)	Kiroilla, kirota	NULL	NULL	NULL	NULL	NULL	NULL
kirota	1	Swear	(tags:model:swear.02)	Kiroilla, kirota	NULL	swear.02	NULL	3013	NULL	NULL
kirota	2	Curse	NULL	Kirota, manata jotakin	NULL	none.01	NULL	NULL	NULL	NULL
kirvellä	1	Prick, cause pain	(tags: model:prick.01)	Kirvellä, aiheuttaa kipua	NULL	prick.01	NULL	NULL	NULL	NULL
kirvoittaa	1	Loosen (somebody's tongue), bring about	NULL	Kirvoittaa, saada aikaan	NULL	none.01	NULL	NULL	NULL	NULL
kiskoa	1	Cause something to move along a path	Note: NOT in sync with pull.01, no arg3 (tags: seed:vetää)	Asian liikuttaminen tiettyyn suuntaan	Huom! Ei synkr. pull.01:n kanssa, ei arg3:a (tags: seed:vetää)	drag.01	NULL	NULL	01989778, 01524517	3f045e9
kiskoa	2	Take in, consume	(tags: seed:vetää)	Käyttää, nauttia	(tags: seed:vetää)	NULL	NULL	NULL	01133202	305dcde
kismittää	1	Annoy, bother	Note: Not in sync with annoy.01 or bother.01, no arg0 in Finnish\t	Harmittaa	Huom! Ei synkr. annoy.01 eikä bother.01:n kanssa, suomessa ei arg0:a.	NULL	NULL	2317	NULL	NULL
kiteytyä	1	Crystallize	NULL	Kiteytyä	NULL	NULL	NULL	NULL	NULL	NULL
kitistä	1	Complain	(tags: model:complain.01, seed:valittaa)	Valittaa, motkottaa	NULL	NULL	NULL	NULL	00870881	2211cf3
kitkeä	1	Weed	NULL	Kitkeä	NULL	NULL	NULL	NULL	NULL	NULL
kitkutella	1	Scrape by, come by with little money	Note: not in sync with scrape.03, seems to be close but not quite. No arg1 in Finnish.	Kitkutella, kituuttaa, tulla toimeen vähällä rahalla	Huom! Ei synkr. scrape.03:n kanssa, näyttää olevan lähellä mutta ei aivan sama. Suomessa ei arg1:ä.	none.01	NULL	NULL	NULL	NULL
kiukustua	1	Bristle, react angrily	Not sure if the target of emotion should be arg1, but will go with the model. (tags: model:chafe.01)	Kiukustua, suuttua	Ei varmuutta pitäisikö ärtymisen aiheen olla arg1, mutta mennään mallin mukaan.	bristle.01	NULL	3700	NULL	NULL
kiukutella	1	Throw a tantrum	NULL	Kiukutella	NULL	NULL	NULL	NULL	NULL	NULL
kiusoitella	1	Tease	tags:model:tease.02	Kiusata, kiusoitella	NULL	NULL	NULL	NULL	NULL	NULL
kivittää	1	Stone, throw stones	(tags: model:stone.02)	Kivittää, heittää kiviä jotakin kohti	NULL	stone.02	NULL	NULL	NULL	NULL
klompsuttaa	1	Use one's feet to advance	(tags: seed:kävellä, model:walk.01)	Käyttää jalkoja etenemiseen	NULL	none.01	NULL	1072	NULL	NULL
koetella	1	try, test, tax	NULL	panna koetukselle	NULL	NULL	NULL	NULL	NULL	NULL
koettaa	1	Try something	(tags: seed:yrittää, model:try.01)	Kokeilla jotakin		try.01	NULL	NULL	02394543, 02392975	4987956
kohauttaa	1	Shrug	tags:model:shrug.01	Kohauttaa	NULL	NULL	NULL	NULL	NULL	NULL
kohdata	1	Meet someone or something	(tags: seed:kohdata, model:meet.02)	Kohdata joku tai jokin		meet.02	NULL	NULL	02591665, 02077400	332420c
kohdella	1	Treat, handle	NULL	Kohdella, käsitellä	NULL	none.01	NULL	NULL	NULL	NULL
kohdistaa	1	Direct, target	(model:direct.01)	Osoittaa, kohdistaa	NULL	NULL	NULL	NULL	01100150	56f46d0
kohdistaa	2	Aim, direct, target	(tags: seed:suunnata, model:direct.01)	Tähdätä, kohdistaa, suunnata	NULL	NULL	NULL	NULL	01099828	5cc7125
kohdistua	1	Fall on/upon	NULL	Keskittyä johonkin (yhteen) asiaan	NULL	NULL	NULL	NULL	NULL	NULL
kohentaa	1	Improve, make better	(tags: model:improve.01, seed:kehittää)	Kehittää paremmaksi, parantaa	(tags: model:improve.01, seed:kehittää)	NULL	NULL	703	NULL	NULL
koheta	1	Improve, rise	(tags: model: improve.02)	Koheta, parantua, nousta	NULL	improve.02	NULL	NULL	NULL	NULL
kohota	1	Go up	also in amount (tags: model:rise.01, seed:nousta)	Nousta ylöspäin	myös määrällisesti	rise.01	NULL	NULL	00148192	584a4a3
kohota	2	Become famous, advance in status	(tags: model:become.01, seed:nousta)	Tulla kuuluisaksi, saavuttaa parempi asema	(tags: model:become.01, seed:nousta)	become.01	NULL	NULL	00237972,02254766	42c2942
kohottaa	1	Lift, raise something (higher)	(tags: seed:nostaa, model:lift.01)	Nostaa jotakin (korkeammalle)		NULL	NULL	NULL	01868205, 01866612, 01379655	2a38454
kohtuullistaa	1	Make reasonable	NULL	Tehdä kohtuulliseksi	NULL	none.01	NULL	NULL	NULL	NULL
koittaa	1	Try something	(tags: seed:yrittää, model:try.01)	Kokeilla jotakin		NULL	NULL	NULL	02394543, 02392975	4987956
koittaa	2	Arrive, happen	NULL	Saapua, tapahtua	NULL	NULL	NULL	NULL	NULL	NULL
koitua	1	Cause something	NULL	Koitua	NULL	NULL	NULL	NULL	NULL	NULL
koitua	2	Turn out to be something	NULL	Koitua joksikin	NULL	NULL	NULL	NULL	NULL	NULL
koitua	3	Play into somebody's hands	NULL	Koitua jollekin hyödyksi	NULL	NULL	NULL	NULL	NULL	NULL
kokata	1	Make food, cook	Note: not in sync with cook.01, more possible arguments in Finnish (though possibly it could be sync'd according to occurrences?)\n(tags: model:make.01, seed:valmistaa, colloquial) 	Valmistaa ruokaa	Huom! Ei synkr. cook.01:n kanssa, enemmän mahdollisia argumentteja suomessa (tosin esiintymän perusteella ehkä voisi synkronoida?)	none.01	NULL	600	01594331	239494c
kokea	1	Experience	(tags: model:experience.01)	Kokea, tuntea	NULL	experience.01	NULL	NULL	02018503	2a5b667
kokeilla	1	Try something	(tags: seed:yrittää, model:try.01)	Kokeilla jotakin		NULL	NULL	NULL	02394543, 02392975	4987956
kokoontua	1	Assemble, get together	Note: Not in sync with assemble.02, no arg2 in Finnish.	kerääntyä yhteen	Huom! Ei synkr. assemble.01:n kanssa, ei arg2:a suomessa	NULL	NULL	NULL	NULL	NULL
kolahtaa	1	Touch, abstract sense	(tags: model:touch.01, seed:koskea)	Koskettaa, abstraktisti	NULL	NULL	NULL	773	NULL	NULL
kolauttaa	1	bump, knock	NULL	lyödä itsensä johonkin	NULL	bump.01	NULL	NULL	NULL	NULL
kolkuttaa	1	Knock (make sound)		Kolkuttaa	NULL	none.01	NULL	NULL	NULL	NULL
koluta	1	Rummage, dig into	tags:model:rummage.01	Penkoa, koluta	NULL	NULL	NULL	3269	NULL	NULL
kolvata	1	Solder	(tags: model:solder.01)	Juottaa, kolvata	NULL	solder.01	NULL	NULL	NULL	NULL
komentaa	1	Order	NULL	Komentaa	NULL	NULL	NULL	NULL	NULL	NULL
komistaa	1	Make beautiful	NULL	tehdä kauniiksi	NULL	NULL	NULL	2791	NULL	NULL
kommentoida	1	Comment on something	Note: NOT in sync with PB comment-senses, odd division to two	Sanoa jotain jostakin asiasta	Huom! Ei synkr. PB:n comment-sensejen kanssa, outo jako kahteen	none.01	NULL	NULL	00997739	40c453e
kompastua	1	Trip over something	NULL	Kompastua johonkin	NULL	NULL	NULL	NULL	NULL	NULL
kompuroida	1	Stumble	tags:model:stumble.01	Kompuroida	NULL	NULL	NULL	NULL	NULL	NULL
konsoloida	1	Steady, make steady	NULL	Tasaannuttaa, vakauttaa	NULL	NULL	NULL	3964	NULL	NULL
konsultoida	1	Consult	(tags: model:consult.01)	Konsultoida	NULL	consult.01	NULL	NULL	NULL	NULL
konvertoida	1	Convert, transform	(tags: model:convert.01)	Konvertoida, muuttaa toisenmuotoiseksi	NULL	convert.01	NULL	NULL	NULL	NULL
koodata	1	Write a code, programme	NULL	Koodata, kirjoittaa koodia	NULL	NULL	NULL	NULL	NULL	NULL
koordinoida	1	Organise	NULL	Järjestellä, järjestää	NULL	NULL	NULL	2583	NULL	NULL
koostaa	1	Connect, attach, make a connection	(tags: model:connect.01, seed:yhdistää)	Yhdistää (jotain) johonkin	(tags: model:connect.01, seed:yhdistää)	NULL	NULL	109	NULL	NULL
koostua	1	Include, contain	Note: not in sync with contain.01 (why arg0?) or include.01 (can't have arg0 in Finnish) (tags: seed:sisältää)	Pitää jotakin sisällään	Huom! Ei synkr. contain.01:n (miksi arg0?) tai include.01:n kanssa (ei voi ottaa arg0:aa suomessa) (tags: seed:sisältää)	NULL	NULL	NULL	02552032	43dc7d7
koota	1	Assemble, gather together	(tags: model:assemble.02)	Kerätä yhteen	NULL	NULL	NULL	NULL	02481597	2b883c8
koota	2	Assemble, construct	(tags: model: assemble.01)	Rakentaa, kasata palasista	NULL	NULL	NULL	NULL	01587338	2cc81c
kopauttaa	1	Knock, hit	NULL	Koputtaa, lyödä	NULL	NULL	NULL	3156	NULL	NULL
kopioida	1	Copy	tags:model:copy.02	Kopioida	NULL	NULL	NULL	NULL	NULL	NULL
kopitella	1	Play ball	NULL	Kopitella, heittää koppeja	NULL	NULL	NULL	NULL	NULL	NULL
koputella	1	Knock, hit	NULL	Koputtaa, lyödä	NULL	NULL	NULL	3156	NULL	NULL
koputtaa	1	Knock, hit	NULL	Koputtaa, lyödä	NULL	knock.01	NULL	NULL	NULL	NULL
koristaa	1	Decorate, be a decoration	NULL	Koristaa	NULL	NULL	NULL	NULL	NULL	NULL
koristella	1	Decorate	tags:model:decorate.01	Koristella	NULL	NULL	NULL	NULL	NULL	NULL
korjailla	1	To mend, repair	Note: Not in sync with fix, repair etc., instrument present in Finnish (tags: seed:paikata)	Paikata, korjata	Ei synkr. fix, repair jne. kanssa, suomessa väline yleinen (tags: seed:paikata)	none.01	NULL	233	NULL	NULL
korjata	1	To mend, repair	Note: Not in sync with fix, repair etc., instrument present in Finnish (tags: seed:paikata)	Paikata, korjata	Ei synkr. fix, repair jne. kanssa, suomessa väline yleinen (tags: seed:paikata)	none.01	NULL	NULL	01506375	59857d2
korjata	2	Harvest, collect	(tags: phrasal) N.B. also metaphorically, possible "talteen" PRT	Korjata satoa, poimia talteen	Huom! Myös kuvainnollisesti, mahdollinen "talteen" PRT	harvest.01	NULL	NULL	01250112	17d7e9
korkata	1	Break out, uncork	(tags: model:break.06)	Korkata, avata pullo	NULL	break.06	NULL	NULL	NULL	NULL
korostaa	1	Stress, highlight something	(tags: seed:painottaa, model:stress.01)	Painottaa, nostaa jotain esiin	NULL	stress.01	NULL	NULL	00967111	1af4336
